;seed01;seed04;seed13;seed17;seed18;seed20;seed21;seed22;seed23;seed24;seed25;seed26;seed39;seed58.2;seed63;seed66
Ceratopipra rubrocapilla;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Dixiphia pipra;3;1;1;1;1;1;1;0;0;0;0;0;2;0;0;0
Machaopterus regulus;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
Manacus manacus;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Myiobius barbatus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saltator maximus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Schiffornis turdina;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Tiaris fuliginosus;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
