"","x"
"1",0.279513888888889
"2",0.2275
"3",0.24
"4",0.347222222222222
"5",0.351111111111111
"6",0.229591836734694
"7",0.530612244897959
"8",0.280612244897959
"9",0.226666666666667
"10",0.44
"11",0.244897959183673
"12",0.4375
"13",0.408163265306122
"14",0.444444444444444
"15",0.244897959183673
"16",0.16
"17",0.0555555555555555
"18",0.46875
